# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,butterworth,2,matchedz_vs_sos_ref,0.000000e+00,2.220446e-16,2.220446e-15
constfilt,butterworth,3,matchedz_vs_sos_ref,1.387779e-17,4.440892e-16,2.442491e-15
constfilt,butterworth,4,matchedz_vs_sos_ref,3.816392e-17,1.776357e-15,1.398881e-14
constfilt,butterworth,5,matchedz_vs_sos_ref,1.040834e-17,3.552714e-15,7.660539e-14
constfilt,butterworth,6,matchedz_vs_sos_ref,3.469447e-18,1.776357e-15,7.482903e-14
constfilt,butterworth,7,matchedz_vs_sos_ref,2.602085e-18,7.105427e-15,1.122880e-12
constfilt,butterworth,8,matchedz_vs_sos_ref,2.168404e-19,5.329071e-15,8.926193e-13
constfilt,butterworth,9,matchedz_vs_sos_ref,7.589415e-19,4.440892e-15,6.439516e-12
constfilt,butterworth,10,matchedz_vs_sos_ref,1.626303e-19,7.105427e-15,6.830758e-12
constfilt,butterworth,11,matchedz_vs_sos_ref,5.421011e-20,1.421085e-14,2.127520e-11
constfilt,butterworth,12,matchedz_vs_sos_ref,1.490778e-19,1.847411e-13,3.716780e-10
constfilt,butterworth,13,matchedz_vs_sos_ref,9.486769e-20,1.705303e-13,3.042979e-10
constfilt,butterworth,14,matchedz_vs_sos_ref,3.726945e-20,1.136868e-13,4.557916e-10
constfilt,butterworth,15,matchedz_vs_sos_ref,8.470329e-22,1.307399e-12,1.959370e-09
constfilt,butterworth,16,matchedz_vs_sos_ref,1.524659e-20,2.614797e-12,1.685932e-08
constfilt,butterworth,17,matchedz_vs_sos_ref,3.388132e-21,6.139089e-12,8.153477e-08
constfilt,butterworth,18,matchedz_vs_sos_ref,6.988022e-21,6.821210e-12,2.523224e-07
constfilt,butterworth,19,matchedz_vs_sos_ref,2.223461e-21,4.547474e-12,1.947979e-07
constfilt,butterworth,20,matchedz_vs_sos_ref,3.705769e-22,7.275958e-12,1.077149e-06
constfilt,butterworth,21,matchedz_vs_sos_ref,1.323489e-22,2.000888e-11,1.370838e-06
constfilt,butterworth,22,matchedz_vs_sos_ref,2.646978e-22,9.822543e-11,1.380418e-05
constfilt,butterworth,23,matchedz_vs_sos_ref,1.852885e-22,4.365575e-11,3.023461e-05
constfilt,butterworth,24,matchedz_vs_sos_ref,6.617445e-24,1.437002e-10,9.032014e-05
constfilt,butterworth,25,matchedz_vs_sos_ref,9.926167e-24,4.074536e-10,6.394684e-04
